title,authors,year,citations,abstract,result_id,publication_info,pdf_links,url,total_results,search_time
Spectra of graphs,"AE Brouwer, WH Haemers",2011,3693,"… This book shows the influence of Seidel. For other books on … The spectral center of a tree … If two regular graphs of the same valency are Seidel-cospectral, then they are also cospectral. …",2CZNz1gRPpAJ,"AE Brouwer, WH Haemers - 2011 - books.google.com",['https://aeb.win.tue.nl/2WF05/spectra.pdf'],https://books.google.com/books?hl=en&lr=&id=F98THwYgrXYC&oi=fnd&pg=PR3&dq=Seidel+spectrum+cospectral+trees&ots=gi5hCfq4KZ&sig=1DAN0utH8sSHRJ4QWyXaajgr0dQ,unknown,unknown
Which graphs are determined by their spectrum?,"ER Van Dam, WH Haemers",2003,1077,"… the Seidel matrix a non-regular graph may be cospectral with a regular graph, whilst they are not cospectral with … One used by Schwenk to construct cospectral trees, one from incidence …",XF6pYIBCZ3YJ,"ER Van Dam, WH Haemers - Linear Algebra and its applications, 2003 - Elsevier",['https://www.sciencedirect.com/science/article/pii/S002437950300483X/pdf?md5=7233965950378a9ffdaed59ee696555e&pid=1-s2.0-S002437950300483X-main.pdf'],https://www.sciencedirect.com/science/article/pii/S002437950300483X,unknown,unknown
Spectra and cuts,C Delorme,2002,3,"… the three usual spectra (adjacency, Laplacian, Seidel) suﬁice … But already the trees of Figure 1, although cospectral, with … -equivalent (and thus cospectral) graphs with characteristic …",9FjrCPMQpt8J,"C Delorme - Australasian Journal of Combinatorics, 2002 - ajc.maths.uq.edu.au",['https://ajc.maths.uq.edu.au/pdf/26/ajc_v26_p183.pdf'],https://ajc.maths.uq.edu.au/pdf/26/ajc_v26_p183.pdf,unknown,unknown
Cospectral graphs,"AYYN No, LYNY No, SNNN No",2011,0,"… we perform a Seidel switch. Then the fact that these graphs are cospectral follows by noting … does not change the spectrum of the tree, and then with probability tending to 1 a random …",hAq7Wo1ztNEJ,"AYYN No, LYNY No, SNNN No - 2011 - fanchung.ucsd.edu",['https://fanchung.ucsd.edu/teach/264/kenter/cospectral_talk.pdf'],https://fanchung.ucsd.edu/teach/264/kenter/cospectral_talk.pdf,unknown,unknown
Graphs and their spectra,JJ Seidel,1989,24,… cospectral graphs exist already for order 8. For higher orders things can really go out of hand: there exist at least 16448 nonisomorphic cospectral … This applies to the trees constructed in …,NXp89Rp5P1sJ,"JJ Seidel - Banach Center Publications, 1989 - impan.pl",['https://www.impan.pl/shop/en/publication/transaction/download/product/106499?download.pdf'],https://www.impan.pl/shop/en/publication/transaction/download/product/106499?download.pdf,unknown,unknown
The spectrum of a graph,AJC Schwenk,1973,13,"… tree has a cospectral mate. This is accomplished by finding two ""limbs"" which can be interchanged without affecting the spectrum… Goethals and Seidel actually prefer to study the spectral …",A_1mhPReKkQJ,AJC Schwenk - 1973 - search.proquest.com,['https://deepblue.lib.umich.edu/bitstreams/7e8b281d-ae5f-497e-b3ae-ed880c9fe72e/download'],https://search.proquest.com/openview/c5e8aa0a1cfca6f32d40c9c45b925a36/1?pq-origsite=gscholar&cbl=18750&diss=y,unknown,unknown
Cospectral constructions and spectral properties of variations of the distance matrix,KJ Lorenzen,2021,2,"… a cospectral construction where the graphs are cospectral for … Additionally, I present evidence to the conjecture that trees are … a cospectral mate for Ax when x = 1/2 by Seidel Switching. …",W740gKwS7DUJ,KJ Lorenzen - 2021 - search.proquest.com,['https://dr.lib.iastate.edu/bitstreams/fa5efd38-ebb2-43d4-9ecc-c7a1f82d1197/download'],https://search.proquest.com/openview/a1da23fa58aecac9df7c236a8d65826a/1?pq-origsite=gscholar&cbl=18750&diss=y,unknown,unknown
Graph spectrum,"AE Brouwer, WH Haemers",2011,13,"… of a graph one can determine the number of spanning trees (which will … Seidel eigenvalues. If two regular graphs of the same valency are Seidel-cospectral, then they are also cospectral…",1g4GMcL_SnEJ,"AE Brouwer, WH Haemers - Spectra of graphs, 2011 - Springer",[],https://link.springer.com/chapter/10.1007/978-1-4614-1939-6_1,unknown,unknown
The spectrum of a graph,"C Godsil, DA Holton, B McKay",2006,30,"… Collatz and Sinogowitz also knew of a pair of cospectral trees on 8 vertices. We will pursue … It should be pointed out that Seidel works with (0, -1, 1) matrices in this paper, and hence the …",pkSmjnSBGmgJ,"C Godsil, DA Holton, B McKay - … Mathematics V: Proceedings of the Fifth …, 2006 - Springer",[],https://link.springer.com/chapter/10.1007/BFb0069184,unknown,unknown
On the usage of graph spectra in protein structural similarity,"SL Peng, YW Tsay",2012,3,"… Our results suggest that when Seidel adjacency matrix is applied, … In summary, determining cospectral graphs is an easy problem … As illustrated in Fig.3, trees are provided to expect their …",KsuSX7qDd6IJ,"SL Peng, YW Tsay - Journal of Computers, 2012 - academia.edu",['https://www.academia.edu/download/31954353/new_JOC_typeinst_Peng.pdf'],https://www.academia.edu/download/31954353/new_JOC_typeinst_Peng.pdf,unknown,unknown
