title,authors,year,citations,abstract,result_id,publication_info,pdf_links,url,total_results,search_time
An improved condition for a family of trees being determined by their generalized spectrum,"J Yang, W Wang",2024,4,"… determined by its generalized spectrum (DGS for short), if whenever H is a graph such that H and G are cospectral with cospecral complements … In this paper, we show that for a tree with …",xxC2-whLFZgJ,"J Yang, W Wang - Discrete Mathematics, 2024 - Elsevier",[],https://www.sciencedirect.com/science/article/pii/S0012365X24000876,unknown,unknown
Almost all cographs have a cospectral mate,"W Wang, X Huang",2027,2,"… In this paper, we investigate spectral determination for complement-reducible graphs, or … theorem on generalized cospectrality with standard tools in the asymptotic enumeration of trees, …",DrdNzIyOYl0J,"W Wang, X Huang - Discrete Mathematics, 2027 - Elsevier",['https://arxiv.org/pdf/2507.16730'],https://www.sciencedirect.com/science/article/pii/S0012365X26003717,unknown,unknown
A Sharp Matching-Number Threshold for Spectral-Walk Determination of Trees,C Zhu,2026,1,"… tree is determined, among trees, by its generalized spectrum. … given by the adjacency spectrum together with the total-walk … determine the characteristic polynomial of the complement. …",KGSpcOr9RjIJ,"C Zhu - arXiv preprint arXiv:2608.21851, 2026 - arxiv.org",['https://arxiv.org/pdf/2608.21851'],https://arxiv.org/abs/2608.21851,unknown,unknown
On the Spectral Determination of Complements of -shape Trees,"F Gong, K Wang, W Wang",2026,0,"… trees, settling a long-standing conjecture posed by Wang and Xu (2006). Specifically, we prove that the complement of T(ℓ1,ℓ2,ℓ3) is spectrally determined if … -one generalizedadjacency …",G6qnDsclUr8J,"F Gong, K Wang, W Wang - arXiv preprint arXiv:2608.15733, 2026 - arxiv.org",['https://arxiv.org/pdf/2608.15733'],https://arxiv.org/abs/2608.15733,unknown,unknown
Generalized spectral characterization of signed trees,"Y Ji, W Wang, H Zhang",2023,7,"… (Γ) formally denotes the complement of Γ (it is indeed the complement of Γ if every edge … determined by the generalized spectrum (DGS for short), if any signed graph that is generalized …",fJ6VxnvjNJYJ,"Y Ji, W Wang, H Zhang - arXiv preprint arXiv:2310.00846, 2023 - arxiv.org",['https://arxiv.org/pdf/2310.00846'],https://arxiv.org/abs/2310.00846,unknown,unknown
Main-Factor Constraints on Generalized Cospectral Mates of Trees,C Zhu,2026,0,"… star D(2m, m + 1) is determined by its generalized spectrum but not by its adjacency … spectrum together with that of its complement. A graph is determined by its generalized spectrum (…",VKu4ylMNpP0J,"C Zhu - arXiv preprint arXiv:2608.24137, 2026 - arxiv.org",['https://arxiv.org/pdf/2608.24137'],https://arxiv.org/abs/2608.24137,unknown,unknown
Complementary spectrum of graphs,BS Souza,2020,0,"… both trees are not isomorphic, but both have the same spectrum with … determined by its generalized spectrum. Besides that, [46, 47] also shows that the generalized spectrum determines …",dZXqQ1Na0tYJ,BS Souza - 2020 - lume.ufrgs.br,['https://lume.ufrgs.br/bitstream/handle/10183/217475/001120888.pdf?sequence=1'],https://lume.ufrgs.br/handle/10183/217475,unknown,unknown
Spectral characterizations of almost complete graphs,"M Cámara, WH Haemers",2014,54,"… with some edges deleted is determined by its adjacency spectrum. It is shown … determined by its generalized spectrum (that is, the spectrum together with the spectrum of the complement…",KsVYucubEPYJ,"M Cámara, WH Haemers - Discrete Applied Mathematics, 2014 - Elsevier",[],https://www.sciencedirect.com/science/article/pii/S0166218X13003430,unknown,unknown
Which graphs are determined by their spectrum?,"ER Van Dam, WH Haemers",2003,1077,"… and showed that they are still not strong enough to determine trees. … cospectral complements and hence, by Theorem 1, it produces cospectral graphs with respect to any generalised …",XF6pYIBCZ3YJ,"ER Van Dam, WH Haemers - Linear Algebra and its applications, 2003 - Elsevier",['https://www.sciencedirect.com/science/article/pii/S002437950300483X/pdf?md5=7233965950378a9ffdaed59ee696555e&pid=1-s2.0-S002437950300483X-main.pdf'],https://www.sciencedirect.com/science/article/pii/S002437950300483X,unknown,unknown
Partition energy of some trees and their generalized complements,"E Sampathkumar, SV Roopa, KA Vidya…",2020,4,"… energy of a graph and its generalized complements with respect to a given partition. … ] we determined partition energy of some known graphs, their k-complement and k(i)-complement. …",C14hVkYmgl0J,"E Sampathkumar, SV Roopa, KA Vidya… - TWMS Journal of …, 2020 - dergipark.org.tr",['https://dergipark.org.tr/en/download/article-file/1181270'],https://dergipark.org.tr/en/pub/twmsjaem/issue/55713/761751,unknown,unknown
