title,authors,year,citations,abstract,result_id,publication_info,pdf_links,url,total_results,search_time
A survey of two-graphs,JJ Seidel,1991,412,"… reviews two graphs, phrased switching classes of graphs, sets of … Δ of any two-graph (Ω, Δ) is determined by its triples containing ω. … The spectrum of a two-graphs is the spectrum of the …",rV1utLAVcyMJ,"JJ Seidel - Geometry and Combinatorics, 1991 - Elsevier",[],https://www.sciencedirect.com/science/chapter/edited-volume/pii/B9780121894207500189,unknown,unknown
Spectra of graphs,"AE Brouwer, WH Haemers",2011,3693,… to the real spectrum and consider when a graph is determined by its … This book shows the influence of Seidel. For other books on … Here are the three switching classes of graphs with four …,2CZNz1gRPpAJ,"AE Brouwer, WH Haemers - 2011 - books.google.com",['https://aeb.win.tue.nl/2WF05/spectra.pdf'],https://books.google.com/books?hl=en&lr=&id=F98THwYgrXYC&oi=fnd&pg=PR3&dq=Seidel+spectrum+determines+graph+switching+class&ots=gi5hCfq4RU&sig=q4_7FuooSQoPLiuC2ce6uQFkxFo,unknown,unknown
More about two-graphs,JJ Seidel,1992,22,"… Since there is a one-to-one correspondence between twographs and switching classes of graphs, … We quote two theorems from [22] which together determine all two-graphs whose (f1)-…",G_AnRVPu3DcJ,"JJ Seidel - Annals of Discrete Mathematics, 1992 - Elsevier",[],https://www.sciencedirect.com/science/article/pii/S0167506008706460,unknown,unknown
On switching classes of graphs,"B Et-Taoui, A Fruchard",2018,6,… Relating the Seidel adjacency matrix of a graph with a Gram … only on the spectrum of the adjacency matrix of the graph. We … determines explicitly the number of ssc classes of n-vertex …,BIIHWqn9uOwJ,"B Et-Taoui, A Fruchard - Linear Algebra and its Applications, 2018 - Elsevier",[],https://www.sciencedirect.com/science/article/pii/S0024379518301472,unknown,unknown
A short note on cospectral and integral chain graphs for Seidel matrix,S Mandal,2023,0,"… graphs with identical spectrum. In addition, we obtain a family of Seidel integral chain graphs… matrix having precisely three distinct eigenvalues has a regular graph in its switching class. …",614I182ntuMJ,"S Mandal - arXiv preprint arXiv:2308.00340, 2023 - arxiv.org",['https://arxiv.org/pdf/2308.00340'],https://arxiv.org/abs/2308.00340,unknown,unknown
"Complete multipartite graphs that are determined, up to switching, by their Seidel spectrum","A Berman, N Shaked-Monderer, R Singh…",2019,17,"… obtained from G by Seidel switching has the same Seidel spectrum. We consider G … determined by its Seidel spectrum, up to switching, if any graph with the same spectrum is switching …",LzQolErGsyIJ,"A Berman, N Shaked-Monderer, R Singh… - Linear Algebra and its …, 2019 - Elsevier",[],https://www.sciencedirect.com/science/article/pii/S0024379518305457,unknown,unknown
Graphs related to exceptional root systems,"FC Bussemaker, DM Cvetkovic, JJ Seidel",1976,78,"… this correspondence that we will determine all graphs in G, partly … Switching equivalent graphs have the same spectrum of their … For any graph in a switching class of graphs with an even …",LtMrBgFPZkMJ,"FC Bussemaker, DM Cvetkovic, JJ Seidel - 1976 - research.tue.nl",['https://research.tue.nl/files/2115009/252915.pdf'],https://research.tue.nl/files/2115009/252915.pdf,unknown,unknown
Random Seidel switching on graphs,JT Hughes,2012,3,"… Cayley graph of an abelian group, and use spectral methods … all graphs on n (labeled) vertices in the same switching class … will need to determine the image of the elementary switching …",rZlfRdqFD-gJ,"JT Hughes - The Journal of Combinatorial Mathematics and …, 2012 - combinatorialpress.com",['https://combinatorialpress.com/article/jcmcc/Volume%20088/vol-088-paper%2011.pdf'],https://combinatorialpress.com/article/jcmcc/Volume%20088/vol-088-paper%2011.pdf,unknown,unknown
Which graphs are determined by their spectrum?,"ER Van Dam, WH Haemers",2003,1077,"… class of regular graphs. In the next subsection we shall see that for the Seidel matrix a non-regular graph … we saw with Seidel switching), so they have the same spectrum. In particular …",XF6pYIBCZ3YJ,"ER Van Dam, WH Haemers - Linear Algebra and its applications, 2003 - Elsevier",['https://www.sciencedirect.com/science/article/pii/S002437950300483X/pdf?md5=7233965950378a9ffdaed59ee696555e&pid=1-s2.0-S002437950300483X-main.pdf'],https://www.sciencedirect.com/science/article/pii/S002437950300483X,unknown,unknown
Tables of two-graphs,"FC Bussemaker, RA Mathon, JJ Seidel",2006,70,… the two-graph The graph in the switching class defined by … can provide any two graph with a spectrum of eigenvalues and … This implies that the switching class C defines an element y …,EqP8JvhNfaUJ,"FC Bussemaker, RA Mathon, JJ Seidel - … Graph Theory: Proceedings of …, 2006 - Springer",['https://research.tue.nl/files/2498383/252951.pdf'],https://link.springer.com/content/pdf/10.1007/BFb0092256.pdf,unknown,unknown
