title,authors,year,citations,abstract,result_id,publication_info,pdf_links,url,total_results,search_time
Which graphs are determined by their spectrum?,"ER Van Dam, WH Haemers",2003,1077,"… Seidel matrix a non-regular graph may be cospectral with a regular graph, whilst they are not cospectral … matrix, we mean that it is DS with respect to any generalised adjacency matrix …",XF6pYIBCZ3YJ,"ER Van Dam, WH Haemers - Linear Algebra and its applications, 2003 - Elsevier",['https://www.sciencedirect.com/science/article/pii/S002437950300483X/pdf?md5=7233965950378a9ffdaed59ee696555e&pid=1-s2.0-S002437950300483X-main.pdf'],https://www.sciencedirect.com/science/article/pii/S002437950300483X,unknown,unknown
Cospectral constructions and spectral properties of variations of the distance matrix,KJ Lorenzen,2021,2,"… can generalize these patterns of cospectrality into cospectral … V1, V2 are cousins which means that Q has columns of the … have a cospectral mate for Ax when x = 1/2 by Seidel Switching. …",W740gKwS7DUJ,KJ Lorenzen - 2021 - search.proquest.com,['https://dr.lib.iastate.edu/bitstreams/fa5efd38-ebb2-43d4-9ecc-c7a1f82d1197/download'],https://search.proquest.com/openview/a1da23fa58aecac9df7c236a8d65826a/1?pq-origsite=gscholar&cbl=18750&diss=y,unknown,unknown
Cospectral constructions for several graph matrices using cousin vertices,K Lorenzen,2002,9,"… We generalize a construction for cospectral graphs previously … The construction is a special case of Seidel switching. … know V1,V2 are cousins which means that Q has columns of the …",A4p4PEifOz8J,"K Lorenzen - arXiv preprint arXiv:2002.08248, 2020 - arxiv.org",['https://arxiv.org/pdf/2002.08248'],https://arxiv.org/abs/2002.08248,unknown,unknown
Cospectral graphs and the generalized adjacency matrix,"ER van Dam, WH Haemers, JH Koolen",2007,58,"… -cospectral graphs are easily made by use of Seidel switching, and we also saw that two graphs are ˆy-cospectral if … Note that this does not mean that a graph cannot be counted in more …",kC7mgCktBv8J,"ER van Dam, WH Haemers, JH Koolen - Linear Algebra and its Applications, 2007 - Elsevier",['https://www.sciencedirect.com/science/article/pii/S0024379506003508/pdf?md5=2fea67a67ef10d5d9e79adaff48ff1dd&pid=1-s2.0-S0024379506003508-main.pdf&_valck=1'],https://www.sciencedirect.com/science/article/pii/S0024379506003508,unknown,unknown
Cospectral graphs,"AYYN No, LYNY No, SNNN No",2011,0,… we perform a Seidel switch. Then the fact that these graphs are cospectral follows by noting … The application of a generalization of Seidel switching to form cospectral graphs for the …,hAq7Wo1ztNEJ,"AYYN No, LYNY No, SNNN No - 2011 - fanchung.ucsd.edu",['https://fanchung.ucsd.edu/teach/264/kenter/cospectral_talk.pdf'],https://fanchung.ucsd.edu/teach/264/kenter/cospectral_talk.pdf,unknown,unknown
Constructing cospectral graphs,"CD Godsil, BD McKay",1982,383,… of cospectral graphs. In this paper we present some new and powerful constructions for pairs of cospectral graphs and considerably generalize … a means of producing pairs of cospectral …,MgRuvvodyK0J,"CD Godsil, BD McKay - Aequationes Mathematicae, 1982 - Springer",['http://cs.anu.edu.au/~bdm/papers/GodsilMcKayCospectral.pdf'],https://link.springer.com/article/10.1007/BF02189621,unknown,unknown
Cospectral graphs and the generalized adjacency matrix,J Koolen,2006,0,"… As remarked in the introduction, 1 2 -cospectral graphs are easily made by use of Seidel … Semiisomorphic graphs are R-cospectral, which means that they are cospectral and so are their …",6dJkgVGj0csJ,"J Koolen - RePEc: Research Papers in Economics, 2006 - academia.edu",[],https://www.academia.edu/download/133998688/6886644.pdf,unknown,unknown
Cospectral constructions for several graph matrices,K Lorenzen,2021,1,"… We generalize a construction for cospectral graphs previously … The construction is a special case of Seidel switching. … • For the distance matrix, we know V1, V2 are cousins which means …",3f3feLc26lQJ,"K Lorenzen - Cospectral constructions and spectral properties of …, 2021 - dr.lib.iastate.edu",['https://dr.lib.iastate.edu/server/api/core/bitstreams/06f7a624-e784-490b-a7e0-8d144f2fd901/content#page=23'],https://dr.lib.iastate.edu/server/api/core/bitstreams/06f7a624-e784-490b-a7e0-8d144f2fd901/content#page=23,unknown,unknown
The spectrum of the Corona of Hypergraphs,"LJ Kurian, CAV",2024,0,… characteristic polynomial of Seidel matrix of the generalised corona of hypergraphs. … Seidel-cospectral hypergraphs. Using this we get infinitely many non-isomorphic Seidel-cospectral …,qdjJCl1gCu4J,"LJ Kurian, CAV - arXiv preprint arXiv:2403.02650, 2024 - arxiv.org",['https://arxiv.org/pdf/2403.02650'],https://arxiv.org/abs/2403.02650,unknown,unknown
"Complete multipartite graphs that are determined, up to switching, by their Seidel spectrum","A Berman, N Shaked-Monderer, R Singh…",2019,17,"… ) , J and I is called a generalized adjacency matrix. There are … We show that each graph Seidel cospectral with a complete k… equivalent, Seidel cospectral complete tripartite graphs. …",LzQolErGsyIJ,"A Berman, N Shaked-Monderer, R Singh… - Linear Algebra and its …, 2019 - Elsevier",[],https://www.sciencedirect.com/science/article/pii/S0024379518305457,unknown,unknown
