title,authors,year,citations,abstract,result_id,publication_info,pdf_links,url,total_results,search_time
Spectra of graphs,"AE Brouwer, WH Haemers",2011,3693,"… This book shows the influence of Seidel. For other books on … The spectral center of a tree … However, by Proposition 1.3.10 below, a graph is bipartite precisely when its Laplace spectrum …",2CZNz1gRPpAJ,"AE Brouwer, WH Haemers - 2011 - books.google.com",['https://aeb.win.tue.nl/2WF05/spectra.pdf'],https://books.google.com/books?hl=en&lr=&id=F98THwYgrXYC&oi=fnd&pg=PR3&dq=Seidel+switching+class+contains+tree+bipartite+spectrum&ots=gi5hCfq5NT&sig=j9Ep6SsqdP8o6CtpUVOjkHosj1Q,unknown,unknown
More about two-graphs,JJ Seidel,1992,22,"… sums r + B, where B is any complete bipartite graph on V . This … We say that the two-graph A(T) arzses from the tree T . The … adjacency matrix E of a graph in the switching class have the …",G_AnRVPu3DcJ,"JJ Seidel - Annals of Discrete Mathematics, 1992 - Elsevier",[],https://www.sciencedirect.com/science/article/pii/S0167506008706460,unknown,unknown
Open problems in the spectral theory of signed graphs,"F Belardo, SM Cioabă, JH Koolen, J Wang",2019,112,"… , all signed trees on the same underlying graph are switching … of the spectrum is not a privilege of bipartite and balanced … Seidel spectrum but not being pairwise (Seidel-)switching …",KVaUamzD3LgJ,"F Belardo, SM Cioabă, JH Koolen, J Wang - arXiv preprint arXiv …, 2019 - arxiv.org",['https://arxiv.org/pdf/1907.04349'],https://arxiv.org/abs/1907.04349,unknown,unknown
Which graphs are determined by their spectrum?,"ER Van Dam, WH Haemers",2003,1077,"… saw with Seidel switching), so they have the same spectrum. In … bipartite, so for this graph L and |L| have the same spectrum. … if the graphs have relatively few edges, such as trees (see …",XF6pYIBCZ3YJ,"ER Van Dam, WH Haemers - Linear Algebra and its applications, 2003 - Elsevier",['https://www.sciencedirect.com/science/article/pii/S002437950300483X/pdf?md5=7233965950378a9ffdaed59ee696555e&pid=1-s2.0-S002437950300483X-main.pdf'],https://www.sciencedirect.com/science/article/pii/S002437950300483X,unknown,unknown
Spectra of signed graphs with two eigenvalues,Z Stanić,2020,51,"… We say that a signed graph is complete, bipartite or regular if … (with respect to the Seidel switching) of graphs with 2 Seidel … be the negative quadrangle) or a tree with one edge doubled (…",s5xBaADDVikJ,"Z Stanić - Applied Mathematics and Computation, 2020 - Elsevier",[],https://www.sciencedirect.com/science/article/pii/S0096300319306198,unknown,unknown
A survey of two-graphs,JJ Seidel,1991,412,"… c = T As a consequence, A and A' have the same spectrum. We shall say that the graphs of … The complete bipartite graph on a + b =, n vertices is switching equivalent to the void graph …",rV1utLAVcyMJ,"JJ Seidel - Geometry and Combinatorics, 1991 - Elsevier",[],https://www.sciencedirect.com/science/chapter/edited-volume/pii/B9780121894207500189,unknown,unknown
SEIDEL SWITCHING AND COSPECTRAL GRAPHS WITH FOUR DISTINCT EIGENVALUES*,M Doob,1979,6,"… two large classes of such graphs, namely, those that are bipartite and those … that the graph is characterized by its spectrum [3]. Let us now see how … Suppose we have a regular graph of …",_Sg3n6ZUX6kJ,"M Doob - Annals of the New York Academy of Sciences, 1979 - Wiley Online Library",['https://nyaspubs.onlinelibrary.wiley.com/doi/pdf/10.1111/j.1749-6632.1979.tb32787.x'],https://nyaspubs.onlinelibrary.wiley.com/doi/abs/10.1111/j.1749-6632.1979.tb32787.x,unknown,unknown
Graph spectrum,"AE Brouwer, WH Haemers",2011,13,"… , and therefore Kn has N = nn−2 spanning trees. This formula is … a graph is bipartite precisely when its Laplace spectrum and … The Seidel spectrum of a graph is the spectrum of its Seidel …",1g4GMcL_SnEJ,"AE Brouwer, WH Haemers - Spectra of graphs, 2011 - Springer",[],https://link.springer.com/chapter/10.1007/978-1-4614-1939-6_1,unknown,unknown
A survey on integral graphs,"K Balińska, D Cvetković, Z Radosavljević…",2002,283,"… G2i has a symmetric spectrum, which means that it is bipartite. … spectrum of a tree, it turns out that Àn_i < 1 unless we have a … X contains an even number of triples of The Seidel spectrum …",E79mc92Q9xMJ,"K Balińska, D Cvetković, Z Radosavljević… - Publikacije …, 2002 - JSTOR",['https://draganstevanovic.wordpress.com/wp-content/uploads/2012/09/928.pdf'],https://www.jstor.org/stable/43666564,unknown,unknown
Cospectral graphs,"AYYN No, LYNY No, SNNN No",2011,0,"… spectrum of S for a graph is invariant under Seidel switching, … here is that we have a pair of bipartite cospectral graphs that … the other does not change the spectrum of the tree, and then …",hAq7Wo1ztNEJ,"AYYN No, LYNY No, SNNN No - 2011 - fanchung.ucsd.edu",['https://fanchung.ucsd.edu/teach/264/kenter/cospectral_talk.pdf'],https://fanchung.ucsd.edu/teach/264/kenter/cospectral_talk.pdf,unknown,unknown
