title,authors,year,citations,abstract,result_id,publication_info,pdf_links,url,total_results,search_time
The spectrum of a graph,AJC Schwenk,1973,13,"… Curiously, we find that for any limb L of weight n, the number of trees having L as a limb … IV we apply spectral theory to determine the numbers of trees, walks, and closed walks in a …",A_1mhPReKkQJ,AJC Schwenk - 1973 - search.proquest.com,['https://deepblue.lib.umich.edu/bitstreams/7e8b281d-ae5f-497e-b3ae-ed880c9fe72e/download'],https://search.proquest.com/openview/c5e8aa0a1cfca6f32d40c9c45b925a36/1?pq-origsite=gscholar&cbl=18750&diss=y,unknown,unknown
A Sharp Matching-Number Threshold for Spectral-Walk Determination of Trees,C Zhu,2026,1,"… spectral graph theory. In this paper we study when a tree is determined, among trees, by its generalized spectrum… spectrum together with the total-walk sequence Wk(G) = 1TA(G)k1. We …",KGSpcOr9RjIJ,"C Zhu - arXiv preprint arXiv:2608.21851, 2026 - arxiv.org",['https://arxiv.org/pdf/2608.21851'],https://arxiv.org/abs/2608.21851,unknown,unknown
The spectral approach to determining the number of walks in a graph,"F Harary, A Schwenk",1979,86,"… It is well known that the number of closed walks of length n is simply the nth moment of … find similar spectral expressions for unrestricted (either open or closed) walks, and also for walks …",sGWQJZbAeNkJ,"F Harary, A Schwenk - Pacific Journal of Mathematics, 1979 - msp.org",['https://msp.org/pjm/1979/80-2/pjm-v80-n2-p15-s.pdf'],https://msp.org/pjm/1979/80-2/p15.xhtml,unknown,unknown
Spectrum of walk matrix for Koch network and its application,"P Xie, Y Lin, Z Zhang",2015,27,"… In this section, we determine all the … Since the number of spanning trees in K g can be directly obtained to be 3 4 g , our purpose of evaluating spanning trees using the spectra for walk …",sqG0ruA8yFwJ,"P Xie, Y Lin, Z Zhang - the journal of chemical physics, 2015 - pubs.aip.org",[],https://pubs.aip.org/aip/jcp/article/142/22/224106/564486,unknown,unknown
Which graphs are determined by their spectrum?,"ER Van Dam, WH Haemers",2003,1077,… the total number of closed walks of length i (we assume that a closed walk has a distinguished vertex where the walk … and showed that they are still not strong enough to determine trees. …,XF6pYIBCZ3YJ,"ER Van Dam, WH Haemers - Linear Algebra and its applications, 2003 - Elsevier",['https://www.sciencedirect.com/science/article/pii/S002437950300483X/pdf?md5=7233965950378a9ffdaed59ee696555e&pid=1-s2.0-S002437950300483X-main.pdf'],https://www.sciencedirect.com/science/article/pii/S002437950300483X,unknown,unknown
"Inequalities for the Number of Walks, the Spectral Radius, and the Energy of Graphs","H Täubig, J Weihmann",2012,5,"… Inequalities for the number of walks in trees and general graphs and a generalization of a theorem of Erdos and Simonovits. Technical Report TUM-I1109, Department of Computer …",dJuzxLAHtYIJ,"H Täubig, J Weihmann - 2012 - mediatum.ub.tum.de",['https://mediatum.ub.tum.de/doc/1113055/document.pdf'],https://mediatum.ub.tum.de/1113055,unknown,unknown
Spectral analysis of phylogenetic data,"MD Hendy, D Penny",1993,251,"… tree spectrum. We develop an optimality selection procedure using a least squares best fit, to find the phylogenetic tree whose tree spectrum … odd number of the endpoints of the paths in …",fQZREW7k8XAJ,"MD Hendy, D Penny - Journal of classification, 1993 - Springer",[],https://link.springer.com/article/10.1007/BF02638451,unknown,unknown
A study of graph spectra for comparing graphs and trees,"RC Wilson, P Zhu",2008,352,"… One of the aims of this paper is to establish how useful the spectrum is as such a measure. … If D k ( u , v ) is the number of paths of length k between nodes u and v then(6) H t ( u , v ) = …",z-4ULD95dZgJ,"RC Wilson, P Zhu - Pattern Recognition, 2008 - Elsevier",[],https://www.sciencedirect.com/science/article/pii/S0031320308000927,unknown,unknown
Analysis of tree spectra,K Dadedzi,2018,4,… We also find a combinatorial interpretation for the coefficients of the characteristic … 102 6.9 An edge-disjoint collection (the paths emanating from v1 and v4 aretrivial). . . . . . . . . …,sN-OiGYFzU8J,K Dadedzi - 2018 - scholar.sun.ac.za,['https://scholar.sun.ac.za/bitstream/10019.1/104848/2/dadedzi_analysis_2018.pdf'],https://scholar.sun.ac.za/handle/10019.1/104848,unknown,unknown
Path and walk matrices of trees,M Kunz,1989,12,"… the number of edges (arcs) in paths (walks), determining … The orientation of arcs has no effect on the spectra of the … effect on the Wiener number, but it gives different spectra of different …",6zh_j4QYMJ0J,"M Kunz - Collection of Czechoslovak chemical communications, 1989 - cccc.uochb.cas.cz",[],http://cccc.uochb.cas.cz/54/8/2148/,unknown,unknown
