title,authors,year,citations,abstract,result_id,publication_info,pdf_links,url,total_results,search_time
Logical aspects of isomorphism of controllable graphs and cospectrality of distance-regularized graphs,"A Abiad, A Dawar, OB Zapata-Fonseca",2026,0,… Here we prove that cospectral distance-regularized graphs are indistinguishable by the … We say that two graphs are walk-equivalent if they have the same number of walks of length …,LyFTFs_0MO0J,"A Abiad, A Dawar, OB Zapata-Fonseca - arXiv preprint arXiv:2603.03601, 2026 - arxiv.org",['https://arxiv.org/pdf/2603.03601'],https://arxiv.org/abs/2603.03601,unknown,unknown
Gathering Information about a Graph by Counting Walks from a Single Vertex,"F Fuhlbrück, J Köbler, O Verbitsky…",2024,0,"… non-isomorphic connected graph with the same number of vertices as G. Using the classical constructions of cospectral trees, we first … We say that v and u are strongly walk-equivalent if …",Iwa8Nw47uKsJ,"F Fuhlbrück, J Köbler, O Verbitsky… - arXiv preprint arXiv …, 2024 - arxiv.org",['https://arxiv.org/pdf/2409.03690'],https://arxiv.org/abs/2409.03690,unknown,unknown
Flat bands by latent symmetry,"CV Morfonios, M Röntgen, M Pyzh, P Schmelcher",2021,66,"… , v walk equivalent [62] relative to M if their summed walks to … on walk equivalent cospectral sites), where (a) the cospectral sites … to a cospectral pair {u, v} of a given graph by scanning …",MNUyBHh0i2IJ,"CV Morfonios, M Röntgen, M Pyzh, P Schmelcher - Physical Review B, 2021 - APS",['https://arxiv.org/pdf/2102.12446'],https://journals.aps.org/prb/abstract/10.1103/PhysRevB.104.035105,unknown,unknown
Descriptive complexity of the generalized spectra of graphs,"A Abiad, A Dawar, O Zapata",2022,1,… Two graphs are cospectral if they have the same characteristic polynomial. Since the … two graphs are walk-equivalent if their generating functions for all walks are equal. Since …,sQA3eCADYxsJ,"A Abiad, A Dawar, O Zapata - arXiv preprint arXiv:2210.05482, 2022 - arxiv.org",['https://arxiv.org/pdf/2210.05482'],https://arxiv.org/abs/2210.05482,unknown,unknown
On a hierarchy of spectral invariants for graphs,"V Arvind, F Fuhlbrück, J Köbler, O Verbitsky",2023,4,"… Thus, a graph G is DS if every graph cospectral to G, ie, with … the numbers of closed k-walks in a graph determine the graph … only if the graphs G and H are closed-walk-equivalent in the …",60ZgAlc6y0AJ,"V Arvind, F Fuhlbrück, J Köbler, O Verbitsky - arXiv preprint arXiv …, 2023 - arxiv.org",['https://arxiv.org/pdf/2310.04391'],https://arxiv.org/abs/2310.04391,unknown,unknown
Unlocking the walk matrix of a graph,"F Liu, J Siemons",2022,30,… in the row indexed by \(v_{\ell }\) is the number of walks in G of length \(k-1\) from \(v_{… graphs G and \(G^{*}\) are walk equivalent to each other if their standard walk matrices are the same…,aCilD3UiFfoJ,"F Liu, J Siemons - Journal of Algebraic Combinatorics, 2022 - Springer",['https://link.springer.com/content/pdf/10.1007/s10801-021-01065-3.pdf'],https://link.springer.com/article/10.1007/s10801-021-01065-3,unknown,unknown
On a Hierarchy of Spectral Isomorphism Invariants,"V Arvind, F Fuhlbrück, J Köbler, O Verbitsky",2025,1,"… Thus, a graph G is DS if every graph cospectral to G, ie, with … the numbers of closed k-walks in a graph determine the graph … only if the graphs G and H are closed-walk-equivalent in the …",yyzzBYWzGcUJ,"V Arvind, F Fuhlbrück, J Köbler, O Verbitsky - computational complexity, 2025 - Springer",['https://link.springer.com/content/pdf/10.1007/s00037-025-00270-x.pdf'],https://link.springer.com/article/10.1007/s00037-025-00270-x,unknown,unknown
An R-convolution graph kernel based on fast discrete-time quantum walk,"Y Zhang, L Wang, RC Wilson…",2020,18,"… of graphs, including cospectral graphs, regular graphs, and … calculation of the same walks between two graphs. The main … quadratically bigger that the random walk equivalent. In turn, …",4AbLtAdl9dsJ,"Y Zhang, L Wang, RC Wilson… - IEEE transactions on …, 2020 - ieeexplore.ieee.org",['https://eprints.whiterose.ac.uk/id/eprint/166053/1/FDTQWFinal.pdf'],https://ieeexplore.ieee.org/abstract/document/9228895/,unknown,unknown
Descriptive complexity of controllable graphs,"A Abiad, A Dawar, O Zapata",2023,1,"… ) when s = 0, we have that generalized cospectral graphs are cospectral. If we write A for the … that two graphs are walk-equivalent if their generating functions for all walks are equal. Note …",fPMhirq2VwEJ,"A Abiad, A Dawar, O Zapata - Procedia Computer Science, 2023 - Elsevier",['https://www.sciencedirect.com/science/article/pii/S1877050923009821/pdf?md5=959f67eb7a5e56d96748726454aadc57&pid=1-s2.0-S1877050923009821-main.pdf'],https://www.sciencedirect.com/science/article/pii/S1877050923009821,unknown,unknown
Are almost all graphs cospectral,C Godsil,2007,2,… G and H are cospectral graphs with respective adjacency matrices A and B. Then G and H are cospectral if and only if the generating functions for all walks in G and in H are equal. …,illT9Y5RwrkJ,C Godsil - 2007 - math.uwaterloo.ca,['https://www.math.uwaterloo.ca/~cgodsil/pdfs/cospectral.pdf'],https://www.math.uwaterloo.ca/~cgodsil/pdfs/cospectral.pdf,unknown,unknown
