title,authors,year,citations,abstract,result_id,publication_info,pdf_links,url,total_results,search_time
On the eigenvalues of trees,"L Lovász, J Pelikán",1973,376,"… concern in this paper will be fa(2) and A(G) in the case when G is a tree (or more generally, a forest). We determine the maximal and minimal value of A(G) among all trees of n vertices …",14roIut9g3kJ,"L Lovász, J Pelikán - Periodica Mathematica Hungarica, 1973 - Springer",[],https://link.springer.com/article/10.1007/BF02018473,unknown,unknown
Trees with exactly three main eigenvalues,"H Cha, H Shan",2026,0,"… trees of diameter 5 with exactly three main eigenvalues. Using equitable partitions, the spectral … This work extends the classification of trees of diameter 4 established by França et al. [5]. …",xR29sWRvYM8J,"H Cha, H Shan - arXiv preprint arXiv:2607.13577, 2026 - arxiv.org",['https://arxiv.org/pdf/2607.13577'],https://arxiv.org/abs/2607.13577,unknown,unknown
Analysis of tree spectra,K Dadedzi,2018,4,… eigenvalues in the spectra of large random trees. The families of random trees considered in this work are simply generated trees … equation (2.6) and determine its singularities τ and ρ. …,sN-OiGYFzU8J,K Dadedzi - 2018 - scholar.sun.ac.za,['https://scholar.sun.ac.za/bitstream/10019.1/104848/2/dadedzi_analysis_2018.pdf'],https://scholar.sun.ac.za/handle/10019.1/104848,unknown,unknown
On the largest eigenvalue of a tree with perfect matchings,A Chang,2003,43,"… determined the first five maximum value of the largest eigenvalue of trees in Fn and gave the corresponding trees … Focusing on the largest eigenvalue of trees in T2k , this paper will give …",4HSsM07AtT0J,"A Chang - Discrete Mathematics, 2003 - Elsevier",['https://www.sciencedirect.com/science/article/pii/S0012365X0200746X/pdf?md5=4f5e751d364f76a46841396e2b432ea4&pid=1-s2.0-S0012365X0200746X-main.pdf&_valck=1'],https://www.sciencedirect.com/science/article/pii/S0012365X0200746X,unknown,unknown
On the sum of the Laplacian eigenvalues of a tree,"E Fritscher, C Hoppen, I Rocha, V Trevisan",2011,122,"… spectrum of trees. More precisely, we find a new upper bound on the sum of the k largest Laplacian eigenvalues of every n-vertex tree… for α = −2, we determine through Lemma 2.4 that T …",dsolr_vOSEIJ,"E Fritscher, C Hoppen, I Rocha, V Trevisan - Linear Algebra and its …, 2011 - Elsevier",['https://www.sciencedirect.com/science/article/pii/S0024379511000723/pdf?md5=c92b2a08a821b7da8b8a9b5a017f5fae&pid=1-s2.0-S0024379511000723-main.pdf'],https://www.sciencedirect.com/science/article/pii/S0024379511000723,unknown,unknown
Sparse random matrices: the eigenvalue spectrum revisited,"G Semerjian, LF Cugliandolo",2002,166,… We derive a recursion relation that allows one to compute the spectrum of the matrix of incidence for finite trees that determines completely the low concentration limit. Using the iterative …,OWHJJ4nTfsMJ,"G Semerjian, LF Cugliandolo - Journal of Physics A …, 2002 - iopscience.iop.org",['https://arxiv.org/pdf/cond-mat/0202406'],https://iopscience.iop.org/article/10.1088/0305-4470/35/23/303/meta,unknown,unknown
Vibration spectra of the m-tree fractal,"DJ Ford, B Steinhurst",2010,11,… to determine the multiplicities of eigenvalues … spectrum of M1 to recursively list all eigenvalues of Mn. The eigenfunction extension map that fills in the interior values when eigenvectors …,rbNdsOzxNSkJ,"DJ Ford, B Steinhurst - Fractals, 2010 - World Scientific",['https://arxiv.org/pdf/0812.2867'],https://www.worldscientific.com/doi/abs/10.1142/S0218348X1000483X,unknown,unknown
Spectra of large random trees,"S Bhamidi, SN Evans, A Sen",2012,60,"… on the interlacing inequalities for the eigenvalues of a principal … trees that we call probability fringe convergence, we show that the empirical spectral distributions for many random tree …",vGBst04g1jgJ,"S Bhamidi, SN Evans, A Sen - Journal of Theoretical Probability, 2012 - Springer",['https://arxiv.org/pdf/0903.3589'],https://link.springer.com/article/10.1007/s10959-011-0360-9,unknown,unknown
The second largest eigenvalue of a tree,A Neumaier,1982,123,… basic tool we use the concepts of partial eigenvectors and exitvalues. A partial eigenvector satisfies the eigenvector … We determine all connected graphs T with largest eigenvalue < 2. …,syk8EHvUAmsJ,"A Neumaier - Linear Algebra and its Applications, 1982 - Elsevier",['https://www.sciencedirect.com/science/article/pii/0024379582900222/pdf?md5=5c6813e87ed60e65d0efe34c2d7652b4&pid=1-s2.0-0024379582900222-main.pdf'],https://www.sciencedirect.com/science/article/pii/0024379582900222,unknown,unknown
On some distance spectral characteristics of trees,"S Hayat, A Khan, MJF Alenazi",2024,3,"… [30] proved some extremal results on the distance spectrum of graphs. … of trees with three distinct distance eigenvalues. In addition, Aalipour et al. [29] precisely determined the spectrum …",luBC59CZPSYJ,"S Hayat, A Khan, MJF Alenazi - Axioms, 2024 - mdpi.com",[],https://www.mdpi.com/2075-1680/13/8/494,unknown,unknown
